code,en_label,fr_label
1,Management occupations,Gestion
2,"Business, finance and administration occupations","Affaires, finance et administration"
3,Natural and applied sciences and related occupations,Sciences naturelles et appliquées et domaines apparentés
4,Health occupations,Secteur de la santé
5,"Occupations in education, law and social, community and government services","Enseignement, droit et services sociaux, communautaires et gouvernementaux"
6,"Occupations in art, culture, recreation and sport","Arts, culture, sports et loisirs"
7,Sales and service occupations,Vente et services
8,"Trades, transport and equipment operators and related occupations","Métiers, transport, machinerie et domaines apparentés"
9,"Natural resources, agriculture and related production occupations","Ressources naturelles, agriculture et production connexe"
10,Occupations in manufacturing and utilities,Fabrication et services d'utilité publique
0,Not applicable,Indisponible
